rank,search_url,url,title,source_listing_id,listing_type,is_camry_keyword,is_toyota_keyword,is_toyota_camry_title
2,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/gilroy-2014-bmw-328i-328-328-msport/7917839114.html,2014 BMW 328i 328 i 328-i MSPORT M SPORT M-SPORT,7917839114,ctd,False,False,False
2,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/gilroy-2021-ford-f150-150-150-xl/7911319303.html,2021 Ford F150 F 150 F-150 XL,7911319303,ctd,False,False,False
3,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/cto/d/san-jose-2009-camry-hybrid/7911407093.html,2009 Camry Hybrid,7911407093,cto,True,False,False
3,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/cto/d/san-jose-2015-toyota-camry-se-53k-white/7917837856.html,2015 toyota camry se 53k white,7917837856,cto,True,True,True
4,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/gilroy-2014-ford-super-duty-f550-550/7911447205.html,2014 Ford Super Duty F550 F 550 F-550 DRW Chassis Cab Super Duty F 550,7911447205,ctd,False,False,False
4,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/gilroy-2018-bmw-m550i-550-m-550-xdrive/7917830903.html,2018 BMW M550i M 550 i M-550-i xDrive,7917830903,ctd,False,False,False
5,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/san-jose-2019-ford-150-4x4-4wd-f150/7911458336.html,2019 Ford F-150 4x4 4WD F150 Crew cab XLT 4dr SuperCrew 5.5 ft. SB Pickup Truck,7911458336,ctd,False,False,False
5,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/cto/d/san-jose-2016-toyota-camry-le-33k-miles/7917826591.html,2016 Toyota Camry LE 33K Miles,7917826591,cto,True,True,True
6,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/cto/d/fremont-2012-toyota-camry-se/7917810012.html,2012 Toyota Camry SE,7917810012,cto,True,True,True
6,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/cto/d/san-jose-2009-toyota-camry-hybrid-24l/7911480028.html,2009 Toyota Camry hybrid 2.4l,7911480028,cto,True,True,True
7,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/gilroy-2019-mercedes-benz-cla-250-amg/7911526133.html,2019 Mercedes-Benz CLA 250 AMG,7911526133,ctd,False,False,False
7,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/cto/d/san-jose-2013-honda-cr-ex-awd-suv-owner/7917788853.html,2013 Honda CR-V EX-L AWD SUV 1 Owner Records 2014 2015 Touring,7917788853,cto,False,False,False
8,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/gilroy-2019-ford-f150-150-150-platinum/7911536205.html,2019 Ford F150 F 150 F-150 Platinum,7911536205,ctd,False,False,False
8,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/cto/d/san-jose-2008-bmw-series-750i-sport/7917788445.html,2008 BMW 7 Series 750i Sport Sedan 4D 750 i 750LI 100kMi 7Series 2009,7917788445,cto,False,False,False
9,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/cto/d/san-jose-2006-mazda/7911593497.html,2006 Mazda 3,7911593497,cto,False,False,False
9,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/cto/d/san-jose-2011-toyota-prius-ii-two/7917787892.html,2011 Toyota Prius II Two Hatchback 4D Records NewTires 2012 2013,7917787892,cto,False,True,False
10,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/cupertino-2003-toyota-camry-xle-cyl/7917779364.html,2003 TOYOTA CAMRY XLE 4 CYL . AUTOMATIC CLEAN LOW MILES,7917779364,ctd,True,True,True
