rank,search_url,url,title,source_listing_id,listing_type,matches_query
2,https://modesto.craigslist.org/search/cta?query=BMW+m5&sort=rel,https://modesto.craigslist.org/ctd/d/gilroy-2013-bmw-335i-335-335-msport/7916289326.html,2013 BMW 335i 335 i 335-i MSPORT M SPORT M-SPORT,7916289326,ctd,False
2,https://monterey.craigslist.org/search/cta?query=BMW+m5&sort=rel,https://monterey.craigslist.org/ctd/d/gilroy-2017-bmw-750i-750-750-msport/7917470692.html,2017 BMW 750i 750 i 750-i MSPORT M SPORT M-SPORT,7917470692,ctd,False
2,https://sacramento.craigslist.org/search/cta?query=BMW+m5&sort=rel&max_price=10000,https://sacramento.craigslist.org/ctd/d/rancho-cordova-2012-bmw-x3-xdrive35i/7917805884.html,2012 BMW X3 xDrive35i AWD 4dr SUV - Comes with Warranty!,7917805884,ctd,False
2,https://sacramento.craigslist.org/search/cta?query=BMW+m5&sort=rel&min_price=15000&max_price=20000,https://sacramento.craigslist.org/ctd/d/sacramento-2013-bmw-series-335i-coupe/7917744085.html,2013 BMW 3-Series 335i Coupe,7917744085,ctd,False
2,https://sacramento.craigslist.org/search/cta?query=BMW+m5&sort=rel&min_price=10000&max_price=15000,https://sacramento.craigslist.org/ctd/d/sacramento-2017-bmw-x4-m40i-sport/7917987495.html,2017 BMW X4 M40i Sport Utility 4D - A1 AUTO WHOLESALE,7917987495,ctd,False
2,https://sacramento.craigslist.org/search/cta?query=BMW+m5&sort=rel&min_price=20000,https://sacramento.craigslist.org/ctd/d/sacramento-2019-bmw-x7-xdrive40i/7917745411.html,2019 BMW X7 xDrive40i,7917745411,ctd,False
2,https://sfbay.craigslist.org/search/cta?query=BMW+m5&sort=rel&min_price=9000&max_price=15000,https://sfbay.craigslist.org/sby/ctd/d/gilroy-2014-bmw-328i-328-328-msport/7917839114.html,2014 BMW 328i 328 i 328-i MSPORT M SPORT M-SPORT,7917839114,ctd,False
2,https://sfbay.craigslist.org/search/cta?query=BMW+m5&sort=rel&max_price=9000,https://sfbay.craigslist.org/sby/cto/d/san-jose-2008-bmw-series-750i-sport/7917788445.html,2008 BMW 7 Series 750i Sport Sedan 4D 750 i 750LI 100kMi 7Series 2009,7917788445,cto,False
2,https://sfbay.craigslist.org/search/cta?query=BMW+m5&sort=rel&min_price=15000&max_price=25000,https://sfbay.craigslist.org/sfc/cto/d/san-francisco-2006-bmw-m5/7914707161.html,2006 BMW M5,7914707161,cto,True
2,https://sfbay.craigslist.org/search/cta?query=BMW+m5&sort=rel&min_price=25000,https://sfbay.craigslist.org/sfc/cto/d/san-francisco-e39-m5/7917325498.html,E39 M5,7917325498,cto,False
2,https://stockton.craigslist.org/search/cta?query=BMW+m5&sort=rel&min_price=15000,https://stockton.craigslist.org/ctd/d/rancho-cordova-2016-bmw-x5-xdrive35i/7917955494.html,2016 BMW X5 xDrive35i AWD 4dr SUV,7917955494,ctd,False
2,https://stockton.craigslist.org/search/cta?query=BMW+m5&sort=rel&max_price=15000,https://stockton.craigslist.org/ctd/d/rancho-cordova-2017-bmw-x5-sdrive35i/7917955824.html,2017 BMW X5 sDrive35i 4dr SUV,7917955824,ctd,False
3,https://modesto.craigslist.org/search/cta?query=BMW+m5&sort=rel,https://modesto.craigslist.org/ctd/d/manteca-2018-bmw-series-430i-xdrive/7916050467.html,2018 BMW 4 Series 430i xDrive Gran Coupe Sedan 4D,7916050467,ctd,False
3,https://monterey.craigslist.org/search/cta?query=BMW+m5&sort=rel,https://monterey.craigslist.org/ctd/d/gilroy-2018-bmw-m550i-550-m-550-xdrive/7917466486.html,2018 BMW M550i M 550 i M-550-i xDrive MSPORT M SPORT M-SPORT,7917466486,ctd,True
