rank,search_url,url,title,source_listing_id,listing_type,matches_query
2,https://modesto.craigslist.org/search/cta?query=Toyota+Supra&sort=rel,https://modesto.craigslist.org/ctd/d/modesto-1988-toyota-supra-turbo/7916344818.html,1988 Toyota Supra Turbo,7916344818,ctd,True
2,https://sacramento.craigslist.org/search/cta?query=Toyota+Supra&sort=rel&min_price=20000,https://sacramento.craigslist.org/ctd/d/roseville-1989-toyota-supra-classic/7916197507.html,1989 Toyota Supra classic,7916197507,ctd,True
2,https://sacramento.craigslist.org/search/cta?query=Toyota+Supra&sort=rel&max_price=10000,https://sacramento.craigslist.org/ctd/d/sacramento-toyota-yaris-41-mpgssuper/7916096873.html,"▄▀▄▀▄ TOYOTA YARIS 41 MPG'S🍒""SUPER COMMUTER""🍒 GAS SAVER💯",7916096873,ctd,False
2,https://sfbay.craigslist.org/search/cta?query=Toyota+Supra&sort=rel&min_price=15000&max_price=25000,https://sfbay.craigslist.org/sby/ctd/d/norco-2023-tesla-model-base-sedan/7916775810.html,2023 Tesla Model 3 Base Sedan Electric,7916775810,ctd,False
2,https://sfbay.craigslist.org/search/cta?query=Toyota+Supra&sort=rel&min_price=25000,https://sfbay.craigslist.org/sby/ctd/d/san-jose-1995-toyota-supra-veilside/7915639433.html,1995 Toyota Supra Veilside | nissan 300zx fairlady mitsubishi 3000gt,7915639433,ctd,True
2,https://sfbay.craigslist.org/search/cta?query=Toyota+Supra&sort=rel&max_price=9000,https://sfbay.craigslist.org/sby/cto/d/san-jose-2014-toyota-prius-ii/7917621747.html,2014 Toyota Prius II,7917621747,cto,False
2,https://sfbay.craigslist.org/search/cta?query=Toyota+Supra&sort=rel&min_price=9000&max_price=15000,https://sfbay.craigslist.org/sby/cto/d/san-jose-jdm-classic-1985-celica-supra/7916330477.html,JDM CLASSIC 1985 Celica Supra P-type 2.8L 4 - Speed Automatic (MK2),7916330477,cto,False
3,https://modesto.craigslist.org/search/cta?query=Toyota+Supra&sort=rel,https://modesto.craigslist.org/ctd/d/south-el-monte-2024-toyota-tacoma-4x4/7917356821.html,2024 Toyota Tacoma 4x4 4WD SR5 Pickup truck,7917356821,ctd,False
3,https://sacramento.craigslist.org/search/cta?query=Toyota+Supra&sort=rel&max_price=10000,https://sacramento.craigslist.org/ctd/d/sacramento-toyota-echoperfectsuper/7912925982.html,▄▀▄▀▄ TOYOTA ECHO🍒PERFECT\*SUPER COMMUTER🍒BLUETOOTH\*\* 40+ MPG'S,7912925982,ctd,False
3,https://sacramento.craigslist.org/search/cta?query=Toyota+Supra&sort=rel&min_price=20000,https://sacramento.craigslist.org/cto/d/sacramento-2016-bmw-m4-sakhir-orange/7915163411.html,2016 BMW M4 Sakhir Orange with Clean CA Title and Carbon Ceramic Brakes,7915163411,cto,False
3,https://sfbay.craigslist.org/search/cta?query=Toyota+Supra&sort=rel&min_price=15000&max_price=25000,https://sfbay.craigslist.org/sby/ctd/d/norco-2024-hyundai-ioniq-sel-wagon/7916775478.html,2024 Hyundai IONIQ 5 SEL Wagon Electric,7916775478,ctd,False
3,https://sfbay.craigslist.org/search/cta?query=Toyota+Supra&sort=rel&max_price=9000,https://sfbay.craigslist.org/sby/cto/d/campbell-1992-toyota-celica-gtauto/7917203348.html,"1992 Toyota Celica GT,Auto, Convertible",7917203348,cto,False
3,https://sfbay.craigslist.org/search/cta?query=Toyota+Supra&sort=rel&min_price=25000,https://sfbay.craigslist.org/sby/cto/d/san-jose-2023-toyota-gr-supra-30/7914191477.html,2023 Toyota GR Supra 3.0 Premium MT White,7914191477,cto,True
3,https://sfbay.craigslist.org/search/cta?query=Toyota+Supra&sort=rel&min_price=9000&max_price=15000,https://sfbay.craigslist.org/sfc/ctd/d/las-vegas-2014-volkswagen-beetle-tdi/7916923774.html,"2014 Volkswagen Beetle TDI w/83k mi, 40+mpg, 550+ mi range, warranty",7916923774,ctd,False
4,https://modesto.craigslist.org/search/cta?query=Toyota+Supra&sort=rel,https://modesto.craigslist.org/ctd/d/south-el-monte-2022-toyota-camry-hybrid/7917239263.html,2022 Toyota Camry Hybrid Electric XSE Sedan,7917239263,ctd,False
4,https://sacramento.craigslist.org/search/cta?query=Toyota+Supra&sort=rel&max_price=10000,https://sacramento.craigslist.org/ctd/d/sacramento-toyota-corolla-sice-cold/7912906896.html,"▄▀▄▀▄ TOYOTA COROLLA ""S""🍒ICE COLD AC🍒MOON ROOF🌙GAS SAVER💯",7912906896,ctd,False
4,https://sacramento.craigslist.org/search/cta?query=Toyota+Supra&sort=rel&min_price=20000,https://sacramento.craigslist.org/cto/d/sacramento-lexus-ls-460-vip460l-full/7913021371.html,▄▀▄▀▄ LEXUS LS 460 L 🏁VIP🏁460L FULL-SIZE LUXURY SEDAN🏁LS460L,7913021371,cto,False
4,https://sfbay.craigslist.org/search/cta?query=Toyota+Supra&sort=rel&min_price=25000,https://sfbay.craigslist.org/eby/ctd/d/walnut-creek-2020-toyota-supra-30/7913189602.html,2020 Toyota Supra 3.0,7913189602,ctd,True
4,https://sfbay.craigslist.org/search/cta?query=Toyota+Supra&sort=rel&max_price=9000,https://sfbay.craigslist.org/nby/cto/d/sebastopol-85-celica-supra/7912244451.html,85 Celica Supra,7912244451,cto,False
4,https://sfbay.craigslist.org/search/cta?query=Toyota+Supra&sort=rel&min_price=9000&max_price=15000,https://sfbay.craigslist.org/sby/ctd/d/newark-2018-tesla-model-long-range/7916665393.html,2018 Tesla Model 3 Long Range – Clean Title – Factory Warranty,7916665393,ctd,False
4,https://sfbay.craigslist.org/search/cta?query=Toyota+Supra&sort=rel&min_price=15000&max_price=25000,https://sfbay.craigslist.org/sby/ctd/d/norco-2018-tesla-model-mid-range-sedan/7916775613.html,2018 Tesla Model 3 Mid Range Sedan Electric,7916775613,ctd,False
5,https://modesto.craigslist.org/search/cta?query=Toyota+Supra&sort=rel,https://modesto.craigslist.org/ctd/d/norco-2024-toyota-camry-se-sedan/7915116876.html,2024 Toyota Camry SE Sedan,7915116876,ctd,False
5,https://sfbay.craigslist.org/search/cta?query=Toyota+Supra&sort=rel&min_price=15000&max_price=25000,https://sfbay.craigslist.org/sby/ctd/d/newark-2023-tesla-model-low-miles/7916309795.html,2023 TESLA MODEL 3! Low Miles!!,7916309795,ctd,False
5,https://sfbay.craigslist.org/search/cta?query=Toyota+Supra&sort=rel&min_price=25000,https://sfbay.craigslist.org/sby/ctd/d/norco-2021-bmw-x5-base-suv-awd-all/7916775903.html,2021 BMW X5 M Base SUV AWD All Wheel Drive,7916775903,ctd,False
6,https://modesto.craigslist.org/search/cta?query=Toyota+Supra&sort=rel,https://modesto.craigslist.org/ctd/d/south-el-monte-2023-tesla-model/7917320385.html,2023 Tesla Model 3 Electric Base Sedan,7917320385,ctd,False
6,https://sfbay.craigslist.org/search/cta?query=Toyota+Supra&sort=rel&min_price=15000&max_price=25000,https://sfbay.craigslist.org/sby/ctd/d/norco-2018-tesla-model-75d-sedan-awd/7915116978.html,2018 Tesla Model S 75D Sedan AWD All Wheel Drive Electric,7915116978,ctd,False
6,https://sfbay.craigslist.org/search/cta?query=Toyota+Supra&sort=rel&min_price=25000,https://sfbay.craigslist.org/sby/ctd/d/norco-2023-tesla-model-long-range-suv/7916775702.html,2023 Tesla Model Y LONG RANGE SUV AWD All Wheel Drive Electric,7916775702,ctd,False
7,https://modesto.craigslist.org/search/cta?query=Toyota+Supra&sort=rel,https://modesto.craigslist.org/ctd/d/south-el-monte-2025-volvo-xc40-awd-all/7917277950.html,2025 Volvo XC40 AWD All Wheel Drive Electric B5 Core Bright Theme SUV,7917277950,ctd,False
7,https://sfbay.craigslist.org/search/cta?query=Toyota+Supra&sort=rel&min_price=15000&max_price=25000,https://sfbay.craigslist.org/sby/ctd/d/norco-2020-tesla-model-long-range-suv/7915109351.html,2020 Tesla Model Y Long Range SUV AWD All Wheel Drive Electric,7915109351,ctd,False
7,https://sfbay.craigslist.org/search/cta?query=Toyota+Supra&sort=rel&min_price=25000,https://sfbay.craigslist.org/sby/ctd/d/norco-2023-toyota-sienna-le-passenger/7912165121.html,2023 Toyota Sienna LE 8-Passenger Hybrid Minivan Electric,7912165121,ctd,False
8,https://modesto.craigslist.org/search/cta?query=Toyota+Supra&sort=rel,https://modesto.craigslist.org/ctd/d/south-el-monte-2020-toyota-rav4-rav-xle/7914088802.html,2020 Toyota RAV4 RAV 4 XLE Premium SUV,7914088802,ctd,False
8,https://sfbay.craigslist.org/search/cta?query=Toyota+Supra&sort=rel&min_price=15000&max_price=25000,https://sfbay.craigslist.org/sby/ctd/d/norco-2023-tesla-model-base-sedan/7915102432.html,2023 Tesla Model 3 Base Sedan Electric,7915102432,ctd,False
8,https://sfbay.craigslist.org/search/cta?query=Toyota+Supra&sort=rel&min_price=25000,https://sfbay.craigslist.org/sby/ctd/d/norco-2023-tesla-model-performance/7913666488.html,2023 Tesla Model 3 Performance Sedan AWD All Wheel Drive Electric,7913666488,ctd,False
9,https://modesto.craigslist.org/search/cta?query=Toyota+Supra&sort=rel,https://modesto.craigslist.org/ctd/d/south-el-monte-2020-ram-1500-classic/7916751335.html,2020 Ram 1500 Classic Dodge SLT \*El Monte Pickup truck,7916751335,ctd,False
9,https://sfbay.craigslist.org/search/cta?query=Toyota+Supra&sort=rel&min_price=15000&max_price=25000,https://sfbay.craigslist.org/sby/ctd/d/norco-2021-tesla-model-long-range-sedan/7913676633.html,2021 Tesla Model 3 Long Range Sedan AWD All Wheel Drive Electric,7913676633,ctd,False
9,https://sfbay.craigslist.org/search/cta?query=Toyota+Supra&sort=rel&min_price=25000,https://sfbay.craigslist.org/sby/ctd/d/norco-2023-tesla-model-long-range-suv/7913657837.html,2023 Tesla Model Y Long Range SUV AWD All Wheel Drive Electric,7913657837,ctd,False
10,https://modesto.craigslist.org/search/cta?query=Toyota+Supra&sort=rel,https://modesto.craigslist.org/ctd/d/south-el-monte-2023-tesla-model-awd-all/7916725629.html,2023 Tesla Model Y AWD All Wheel Drive Electric Long Range SUV,7916725629,ctd,False
10,https://sfbay.craigslist.org/search/cta?query=Toyota+Supra&sort=rel&min_price=15000&max_price=25000,https://sfbay.craigslist.org/sby/ctd/d/norco-2021-tesla-model-long-range-sedan/7913643353.html,2021 Tesla Model 3 Long Range Sedan AWD All Wheel Drive Electric,7913643353,ctd,False
10,https://sfbay.craigslist.org/search/cta?query=Toyota+Supra&sort=rel&min_price=25000,https://sfbay.craigslist.org/sby/ctd/d/norco-2023-chevrolet-camaro-ss-coupe/7913650012.html,2023 Chevrolet Camaro SS Coupe Chevy,7913650012,ctd,False
11,https://modesto.craigslist.org/search/cta?query=Toyota+Supra&sort=rel,https://modesto.craigslist.org/ctd/d/south-el-monte-2024-toyota-camry-se/7913573351.html,2024 Toyota Camry SE Sedan,7913573351,ctd,False
11,https://sfbay.craigslist.org/search/cta?query=Toyota+Supra&sort=rel&min_price=15000&max_price=25000,https://sfbay.craigslist.org/sby/ctd/d/newark-2019-mercedes-benz-e300-fully/7912939359.html,2019 Mercedes-Benz E300 – Fully Loaded –,7912939359,ctd,False
12,https://modesto.craigslist.org/search/cta?query=Toyota+Supra&sort=rel,https://modesto.craigslist.org/ctd/d/south-el-monte-2021-tesla-model-awd-all/7916082080.html,2021 Tesla Model 3 AWD All Wheel Drive Electric Long Range Sedan,7916082080,ctd,False
12,https://sfbay.craigslist.org/search/cta?query=Toyota+Supra&sort=rel&min_price=15000&max_price=25000,https://sfbay.craigslist.org/sby/ctd/d/norco-2021-tesla-model-long-range-suv/7912190546.html,2021 Tesla Model Y Long Range SUV AWD All Wheel Drive Electric,7912190546,ctd,False
13,https://modesto.craigslist.org/search/cta?query=Toyota+Supra&sort=rel,https://modesto.craigslist.org/ctd/d/south-el-monte-2021-tesla-model/7916052435.html,2021 Tesla Model Y Electric Standard Range SUV,7916052435,ctd,False
13,https://sfbay.craigslist.org/search/cta?query=Toyota+Supra&sort=rel&min_price=15000&max_price=25000,https://sfbay.craigslist.org/sby/ctd/d/norco-2023-honda-accord-ex-sedan/7912181757.html,2023 Honda Accord EX Sedan,7912181757,ctd,False
14,https://modesto.craigslist.org/search/cta?query=Toyota+Supra&sort=rel,https://modesto.craigslist.org/ctd/d/south-el-monte-2024-hyundai-ioniq/7916016651.html,2024 Hyundai IONIQ 6 Electric SE Sedan,7916016651,ctd,False
14,https://sfbay.craigslist.org/search/cta?query=Toyota+Supra&sort=rel&min_price=15000&max_price=25000,https://sfbay.craigslist.org/sby/ctd/d/norco-2020-tesla-model-long-range-suv/7912173089.html,2020 Tesla Model Y Long Range SUV AWD All Wheel Drive Electric,7912173089,ctd,False
15,https://modesto.craigslist.org/search/cta?query=Toyota+Supra&sort=rel,https://modesto.craigslist.org/ctd/d/south-el-monte-2023-kia-forte-sedan/7915973225.html,2023 Kia Forte Sedan,7915973225,ctd,False
15,https://sfbay.craigslist.org/search/cta?query=Toyota+Supra&sort=rel&min_price=15000&max_price=25000,https://sfbay.craigslist.org/sby/ctd/d/norco-2022-tesla-model-long-range-sedan/7912158514.html,2022 Tesla Model 3 Long Range Sedan AWD All Wheel Drive Electric,7912158514,ctd,False
16,https://modesto.craigslist.org/search/cta?query=Toyota+Supra&sort=rel,https://modesto.craigslist.org/ctd/d/south-el-monte-2023-tesla-model/7915406946.html,2023 Tesla Model 3 Electric Base Sedan,7915406946,ctd,False
17,https://modesto.craigslist.org/search/cta?query=Toyota+Supra&sort=rel,https://modesto.craigslist.org/ctd/d/south-el-monte-2024-kia-forte-fe-sedan/7915383643.html,2024 Kia Forte FE Sedan,7915383643,ctd,False
18,https://modesto.craigslist.org/search/cta?query=Toyota+Supra&sort=rel,https://modesto.craigslist.org/ctd/d/south-el-monte-2019-honda-hr-sport-wagon/7915354492.html,2019 Honda HR-V Sport Wagon,7915354492,ctd,False
19,https://modesto.craigslist.org/search/cta?query=Toyota+Supra&sort=rel,https://modesto.craigslist.org/ctd/d/south-el-monte-2023-tesla-model/7915292873.html,2023 Tesla Model 3 Electric Base Sedan,7915292873,ctd,False
20,https://modesto.craigslist.org/search/cta?query=Toyota+Supra&sort=rel,https://modesto.craigslist.org/ctd/d/norco-2023-tesla-model-long-range-suv/7915125748.html,2023 Tesla Model Y LONG RANGE SUV AWD All Wheel Drive Electric,7915125748,ctd,False
21,https://modesto.craigslist.org/search/cta?query=Toyota+Supra&sort=rel,https://modesto.craigslist.org/ctd/d/norco-2020-tesla-model-long-range-suv/7915109252.html,2020 Tesla Model Y Long Range SUV AWD All Wheel Drive Electric,7915109252,ctd,False
22,https://modesto.craigslist.org/search/cta?query=Toyota+Supra&sort=rel,https://modesto.craigslist.org/ctd/d/norco-2021-tesla-model-standard-range/7915102234.html,2021 Tesla Model Y Standard Range SUV Electric,7915102234,ctd,False
23,https://modesto.craigslist.org/search/cta?query=Toyota+Supra&sort=rel,https://modesto.craigslist.org/ctd/d/south-el-monte-2023-tesla-model/7914807141.html,2023 Tesla Model 3 Electric Base Sedan,7914807141,ctd,False
24,https://modesto.craigslist.org/search/cta?query=Toyota+Supra&sort=rel,https://modesto.craigslist.org/ctd/d/south-el-monte-2022-kia-ev6-electric/7914778003.html,2022 Kia EV6 Electric Wind Wagon,7914778003,ctd,False
