rank,search_url,url,title,source_listing_id,listing_type,matches_query
2,https://modesto.craigslist.org/search/cta?query=2014+Toyota+Camry&sort=rel,https://modesto.craigslist.org/ctd/d/modesto-2014-toyota-camry-se/7916465342.html,2014 Toyota Camry SE,7916465342,ctd,True
2,https://sacramento.craigslist.org/search/cta?query=2014+Toyota+Camry&sort=rel&max_price=10000,https://sacramento.craigslist.org/cto/d/sacramento-2014-toyota-camry-le/7917869916.html,2014 Toyota Camry le /Excellent Condition/ clean car,7917869916,cto,True
2,https://sfbay.craigslist.org/search/cta?query=2014+Toyota+Camry&sort=rel&min_price=9000&max_price=15000,https://sfbay.craigslist.org/eby/cto/d/fremont-toyota-camry-2014-clean-title/7917413818.html,Toyota Camry 2014 Clean title,7917413818,cto,True
2,https://sfbay.craigslist.org/search/cta?query=2014+Toyota+Camry&sort=rel&max_price=9000,https://sfbay.craigslist.org/sfc/ctd/d/san-jose-2014-toyota-camry-se-24l-sport/7918005083.html,"2014 Toyota Camry SE 2.4L Sport, Clean Title/ Runs Great / Navi/ Camer",7918005083,ctd,True
3,https://sfbay.craigslist.org/search/cta?query=2014+Toyota+Camry&sort=rel&min_price=9000&max_price=15000,https://sfbay.craigslist.org/sby/ctd/d/san-jose-2014-toyota-camry/7917154130.html,2014 Toyota Camry,7917154130,ctd,True
4,https://sfbay.craigslist.org/search/cta?query=2014+Toyota+Camry&sort=rel&min_price=9000&max_price=15000,https://sfbay.craigslist.org/pen/cto/d/palo-alto-toyota-camry-xle-2014/7916665682.html,Toyota Camry XLE 2014,7916665682,cto,True
4,https://sfbay.craigslist.org/search/cta?query=2014+Toyota+Camry&sort=rel&max_price=9000,https://sfbay.craigslist.org/sfc/ctd/d/daly-city-2014-toyota-camry-sedan-sedan/7915957900.html,2014 Toyota Camry L Sedan sedan Silver,7915957900,ctd,True
5,https://modesto.craigslist.org/search/cta?query=2014+Toyota+Camry&sort=rel,https://modesto.craigslist.org/ctd/d/modesto-2014-toyota-camry-se/7913262511.html,2014 Toyota Camry SE,7913262511,ctd,True
5,https://sfbay.craigslist.org/search/cta?query=2014+Toyota+Camry&sort=rel&max_price=9000,https://sfbay.craigslist.org/eby/ctd/d/hayward-2014-toyota-camry-se-clean/7915625407.html,2014 Toyota Camry SE – Clean & Reliable Sedan for sale,7915625407,ctd,True
5,https://sfbay.craigslist.org/search/cta?query=2014+Toyota+Camry&sort=rel&min_price=9000&max_price=15000,https://sfbay.craigslist.org/sby/ctd/d/san-jose-2014-toyota-camry-se-low-93k/7916448597.html,2014 Toyota Camry SE Low 93K Miles Clean Title,7916448597,ctd,True
6,https://sfbay.craigslist.org/search/cta?query=2014+Toyota+Camry&sort=rel&max_price=9000,https://sfbay.craigslist.org/eby/ctd/d/walnut-creek-2014-toyota-camry-se-sedan/7914974026.html,2014 TOYOTA CAMRY SE SEDAN 4D,7914974026,ctd,True
6,https://sfbay.craigslist.org/search/cta?query=2014+Toyota+Camry&sort=rel&min_price=9000&max_price=15000,https://sfbay.craigslist.org/sby/ctd/d/san-jose-2014-toyota-camry-se-sedan-4d/7916297371.html,2014 Toyota Camry SE Sedan 4D,7916297371,ctd,True
11,https://sfbay.craigslist.org/search/cta?query=2014+Toyota+Camry&sort=rel&max_price=9000,https://sfbay.craigslist.org/eby/cto/d/hayward-2014-toyota-camry-le/7913600109.html,2014 Toyota Camry LE,7913600109,cto,True
12,https://sfbay.craigslist.org/search/cta?query=2014+Toyota+Camry&sort=rel&max_price=9000,https://sfbay.craigslist.org/eby/ctd/d/vallejo-2014-toyota-camry-financing/7913118731.html,2014 Toyota Camry - Financing Available!,7913118731,ctd,True
17,https://sfbay.craigslist.org/search/cta?query=2014+Toyota+Camry&sort=rel&max_price=9000,https://sfbay.craigslist.org/eby/cto/d/richmond-2014-toyota-camry-se/7912276697.html,2014 Toyota Camry SE,7912276697,cto,True
17,https://sfbay.craigslist.org/search/cta?query=2014+Toyota+Camry&sort=rel&min_price=9000&max_price=15000,https://sfbay.craigslist.org/eby/cto/d/tracy-2014-toyota-camry-se/7913257717.html,2014 toyota Camry Se,7913257717,cto,True
18,https://sfbay.craigslist.org/search/cta?query=2014+Toyota+Camry&sort=rel&min_price=9000&max_price=15000,https://sfbay.craigslist.org/eby/ctd/d/walnut-creek-2014-toyota-camry-hybrid/7913189550.html,2014 Toyota Camry Hybrid SE Limited Edition,7913189550,ctd,True
21,https://sfbay.craigslist.org/search/cta?query=2014+Toyota+Camry&sort=rel&min_price=9000&max_price=15000,https://sfbay.craigslist.org/eby/cto/d/tracy-2014-toyota-camry-se-by-owner/7912448631.html,2014 Toyota Camry Se by owner,7912448631,cto,True
22,https://sfbay.craigslist.org/search/cta?query=2014+Toyota+Camry&sort=rel&min_price=9000&max_price=15000,https://sfbay.craigslist.org/eby/ctd/d/richmond-2014-toyota-camry-le-4dr-sedan/7911679551.html,2014 Toyota Camry LE 4dr Sedan,7911679551,ctd,True
