rank,search_url,url,title,source_listing_id,listing_type,matches_query
2,https://sfbay.craigslist.org/search/cta?query=BMW+m5&sort=rel&min_price=15000&max_price=25000,https://sfbay.craigslist.org/sfc/cto/d/san-francisco-2006-bmw-m5/7914707161.html,2006 BMW M5,7914707161,cto,True
3,https://monterey.craigslist.org/search/cta?query=BMW+m5&sort=rel,https://monterey.craigslist.org/ctd/d/gilroy-2018-bmw-m550i-550-m-550-xdrive/7917466486.html,2018 BMW M550i M 550 i M-550-i xDrive MSPORT M SPORT M-SPORT,7917466486,ctd,True
3,https://sfbay.craigslist.org/search/cta?query=BMW+m5&sort=rel&min_price=15000&max_price=25000,https://sfbay.craigslist.org/sby/ctd/d/gilroy-2018-bmw-m550i-550-m-550-xdrive/7917830903.html,2018 BMW M550i M 550 i M-550-i xDrive,7917830903,ctd,True
3,https://sfbay.craigslist.org/search/cta?query=BMW+m5&sort=rel&min_price=25000,https://sfbay.craigslist.org/sfc/ctd/d/west-hollywood-2003-bmw-m5-sedan-carbon/7917308321.html,2003 BMW M5 Sedan Carbon Black Metallic Brown,7917308321,ctd,True
4,https://sfbay.craigslist.org/search/cta?query=BMW+m5&sort=rel&min_price=25000,https://sfbay.craigslist.org/pen/cto/d/south-san-francisco-2021-bmw-m5/7916478465.html,2021 BMW M5 Competition,7916478465,cto,True
5,https://sfbay.craigslist.org/search/cta?query=BMW+m5&sort=rel&min_price=25000,https://sfbay.craigslist.org/eby/ctd/d/san-ramon-2020-bmw-m5-competition/7916463993.html,"2020 BMW M5 COMPETITION PACKAGE \*\*\*MSRP $119,845K\*\*\*MATTE WRAP\*\*\*ST",7916463993,ctd,True
6,https://sfbay.craigslist.org/search/cta?query=BMW+m5&sort=rel&min_price=25000,https://sfbay.craigslist.org/sfc/ctd/d/san-francisco-2025-bmw-m5-touring/7914172209.html,2025 BMW M5 TOURING CARBON CERAMICS M-DRIV PKG UPGRADE CARBON UPGRADES,7914172209,ctd,True
8,https://sfbay.craigslist.org/search/cta?query=BMW+m5&sort=rel&min_price=25000,https://sfbay.craigslist.org/sby/cto/d/san-jose-2014-bmw-m5-competition/7913092281.html,2014 BMW M5 Competition,7913092281,cto,True
10,https://monterey.craigslist.org/search/cta?query=BMW+m5&sort=rel,https://monterey.craigslist.org/ctd/d/gilroy-2018-bmw-m550i-550-m-550-xdrive/7915710398.html,2018 BMW M550i M 550 i M-550-i xDrive,7915710398,ctd,True
37,https://sfbay.craigslist.org/search/cta?query=BMW+m5&sort=rel&min_price=15000&max_price=25000,https://sfbay.craigslist.org/scz/ctd/d/gilroy-2018-bmw-m550i-550-m-550-xdrive/7916260456.html,2018 BMW M550i M 550 i M-550-i xDrive MSPORT M SPORT M-SPORT,7916260456,ctd,True
