rank,search_url,url,title,source_listing_id,listing_type,matches_query
2,https://modesto.craigslist.org/search/cta?query=ford+fiesta&sort=rel,https://modesto.craigslist.org/ctd/d/modesto-2017-ford-fiesta-financing/7915212406.html,2017 Ford Fiesta - Financing Available!,7915212406,ctd,True
2,https://sacramento.craigslist.org/search/cta?query=ford+fiesta&sort=rel&max_price=10000,https://sacramento.craigslist.org/ctd/d/sacramento-2011-ford-fiesta/7918052501.html,2011 Ford Fiesta -,7918052501,ctd,True
2,https://sfbay.craigslist.org/search/cta?query=ford+fiesta&sort=rel&max_price=9000,https://sfbay.craigslist.org/sfc/ctd/d/san-francisco-2014-ford-fiesta/7917787721.html,2014 Ford Fiesta S AUTONATION,7917787721,ctd,True
2,https://stockton.craigslist.org/search/cta?query=ford+fiesta&sort=rel&max_price=15000,https://stockton.craigslist.org/ctd/d/stockton-2012-ford-fiesta/7915401624.html,2012 Ford Fiesta,7915401624,ctd,True
3,https://sacramento.craigslist.org/search/cta?query=ford+fiesta&sort=rel&max_price=10000,https://sacramento.craigslist.org/ctd/d/sacramento-2015-ford-fiesta/7918052204.html,2015 Ford Fiesta -,7918052204,ctd,True
3,https://sfbay.craigslist.org/search/cta?query=ford+fiesta&sort=rel&max_price=9000,https://sfbay.craigslist.org/eby/cto/d/walnut-creek-2018-ford-fiesta-se/7916827584.html,"🚗2018 FORD FIESTA SE - $6,499🚗",7916827584,cto,True
3,https://stockton.craigslist.org/search/cta?query=ford+fiesta&sort=rel&max_price=15000,https://stockton.craigslist.org/cto/d/stockton-ford-fiesta-2012-se/7913409838.html,Ford Fiesta 2012 SE,7913409838,cto,True
4,https://sacramento.craigslist.org/search/cta?query=ford+fiesta&sort=rel&max_price=10000,https://sacramento.craigslist.org/ctd/d/antelope-2012-ford-fiesta-se-hatchback/7917509997.html,2012 Ford Fiesta SE Hatchback 4D Hatchback,7917509997,ctd,True
4,https://sfbay.craigslist.org/search/cta?query=ford+fiesta&sort=rel&max_price=9000,https://sfbay.craigslist.org/sby/cto/d/santa-clara-2015-ford-fiesta/7916755196.html,2015 Ford fiesta,7916755196,cto,True
5,https://sacramento.craigslist.org/search/cta?query=ford+fiesta&sort=rel&max_price=10000,https://sacramento.craigslist.org/ctd/d/west-sacramento-2019-ford-fiesta-clean/7917368393.html,2019 Ford Fiesta - CLEAN TITLE\*\*\*LOW MILES\*\*RELIABLE\*\*WE FINANCE\*\*FINA,7917368393,ctd,True
5,https://sfbay.craigslist.org/search/cta?query=ford+fiesta&sort=rel&max_price=9000,https://sfbay.craigslist.org/eby/ctd/d/dublin-2013-ford-fiesta/7916526312.html,2013 Ford Fiesta S,7916526312,ctd,True
