rank,search_url,url,title,source_listing_id,listing_type,matches_query
2,https://modesto.craigslist.org/search/cta?query=honda+accord&sort=rel,https://modesto.craigslist.org/ctd/d/modesto-2008-honda-accord-ex-sedan/7917791327.html,2008 Honda Accord Ex-L Sedan,7917791327,ctd,True
2,https://monterey.craigslist.org/search/cta?query=honda+accord&sort=rel,https://monterey.craigslist.org/ctd/d/monterey-2025-honda-accord-hybrid/7917705258.html,2025 Honda Accord Hybrid Platinum White PRICED TO SELL!,7917705258,ctd,True
2,https://sacramento.craigslist.org/search/cta?query=honda+accord&sort=rel&min_price=20000,https://sacramento.craigslist.org/ctd/d/rancho-cordova-2024-honda-accord-ex-4dr/7917772580.html,2024 Honda Accord EX 4dr Sedan,7917772580,ctd,True
2,https://sacramento.craigslist.org/search/cta?query=honda+accord&sort=rel&min_price=10000&max_price=15000,https://sacramento.craigslist.org/ctd/d/rocklin-2013-honda-accord-ex-4dr-sedan/7917857879.html,2013 Honda Accord EX 4dr Sedan CVT \*\*\* NO PAYMENTS FOR 90 DAYS!!!\*\*,7917857879,ctd,True
2,https://sacramento.craigslist.org/search/cta?query=honda+accord&sort=rel&min_price=15000&max_price=20000,https://sacramento.craigslist.org/ctd/d/sacramento-2019-honda-accord-sedan-lx/7917767516.html,2019 Honda Accord Sedan LX 1.5T AUTONATION,7917767516,ctd,True
2,https://sacramento.craigslist.org/search/cta?query=honda+accord&sort=rel&max_price=10000,https://sacramento.craigslist.org/cto/d/sacramento-2006-honda-accord-very/7917861439.html,2006 Honda Accord Very Reliable Smog ✔️ ✅️,7917861439,cto,True
2,https://sfbay.craigslist.org/search/cta?query=honda+accord&sort=rel&max_price=9000,https://sfbay.craigslist.org/eby/cto/d/union-city-2007-honda-accord-24l-clean/7917878593.html,2007 Honda Accord 2.4L - Clean Title - Low Mileage - $2900,7917878593,cto,True
2,https://sfbay.craigslist.org/search/cta?query=honda+accord&sort=rel&min_price=9000&max_price=15000,https://sfbay.craigslist.org/sfc/ctd/d/rancho-cordova-2015-honda-accord-coupe/7917876766.html,2015 Honda Accord Coupe EX-L,7917876766,ctd,True
2,https://sfbay.craigslist.org/search/cta?query=honda+accord&sort=rel&min_price=15000&max_price=25000,https://sfbay.craigslist.org/sfc/ctd/d/rancho-cordova-2023-honda-accord-sedan/7917877158.html,2023 Honda Accord Sedan EX,7917877158,ctd,True
2,https://sfbay.craigslist.org/search/cta?query=honda+accord&sort=rel&min_price=25000,https://sfbay.craigslist.org/sfc/ctd/d/rancho-cordova-2024-honda-accord-sedan/7917877003.html,2024 Honda Accord Sedan EX,7917877003,ctd,True
2,https://stockton.craigslist.org/search/cta?query=honda+accord&sort=rel&max_price=15000,https://stockton.craigslist.org/ctd/d/rancho-cordova-2015-honda-accord-ex-2dr/7917774003.html,2015 Honda Accord EX L 2dr Coupe,7917774003,ctd,True
2,https://stockton.craigslist.org/search/cta?query=honda+accord&sort=rel&min_price=15000,https://stockton.craigslist.org/ctd/d/rancho-cordova-2024-honda-accord-ex-4dr/7917773419.html,2024 Honda Accord EX 4dr Sedan,7917773419,ctd,True
3,https://modesto.craigslist.org/search/cta?query=honda+accord&sort=rel,https://modesto.craigslist.org/ctd/d/rancho-cordova-2015-honda-accord-ex-2dr/7917773780.html,2015 Honda Accord EX L 2dr Coupe,7917773780,ctd,True
3,https://monterey.craigslist.org/search/cta?query=honda+accord&sort=rel,https://monterey.craigslist.org/ctd/d/monterey-2025-honda-accord-hybrid/7917578105.html,2025 Honda Accord Hybrid Meteorite Gray Call Now..Priced to go!,7917578105,ctd,True
3,https://sacramento.craigslist.org/search/cta?query=honda+accord&sort=rel&min_price=20000,https://sacramento.craigslist.org/ctd/d/rancho-cordova-2025-honda-accord-lx-4dr/7917772539.html,2025 Honda Accord LX 4dr Sedan,7917772539,ctd,True
3,https://sacramento.craigslist.org/search/cta?query=honda+accord&sort=rel&min_price=10000&max_price=15000,https://sacramento.craigslist.org/ctd/d/sacramento-2016-honda-accord-sedan-lx/7917784837.html,2016 Honda Accord Sedan LX Certified AUTONATION,7917784837,ctd,True
3,https://sacramento.craigslist.org/search/cta?query=honda+accord&sort=rel&min_price=15000&max_price=20000,https://sacramento.craigslist.org/ctd/d/sacramento-2019-honda-accord-financing/7917578891.html,2019 Honda Accord - Financing Available!,7917578891,ctd,True
3,https://sacramento.craigslist.org/search/cta?query=honda+accord&sort=rel&max_price=10000,https://sacramento.craigslist.org/cto/d/sacramento-2005-honda-accord-1900/7917837505.html,2005 Honda Accord $1900,7917837505,cto,True
3,https://sfbay.craigslist.org/search/cta?query=honda+accord&sort=rel&min_price=9000&max_price=15000,https://sfbay.craigslist.org/eby/ctd/d/concord-2014-honda-accordclean/7917852308.html,2014 HONDA ACCORD\*CLEAN TITLE\*GOOD CONDITION\*SERVICED\*EXPERT FINANCING,7917852308,ctd,True
3,https://sfbay.craigslist.org/search/cta?query=honda+accord&sort=rel&max_price=9000,https://sfbay.craigslist.org/nby/cto/d/petaluma-honda-accord-ex/7917868915.html,Honda Accord EX-L,7917868915,cto,True
3,https://sfbay.craigslist.org/search/cta?query=honda+accord&sort=rel&min_price=25000,https://sfbay.craigslist.org/scz/ctd/d/monterey-2025-honda-accord-hybrid/7917705419.html,2025 Honda Accord Hybrid Platinum White Great Price\*\*WHAT A DEAL\*,7917705419,ctd,True
