rank,search_url,url,title,source_listing_id,listing_type,is_camry_keyword,is_toyota_keyword,is_toyota_camry_title
3,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/cto/d/san-jose-2015-toyota-camry-se-53k-white/7917837856.html,2015 toyota camry se 53k white,7917837856,cto,True,True,True
5,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/cto/d/san-jose-2016-toyota-camry-le-33k-miles/7917826591.html,2016 Toyota Camry LE 33K Miles,7917826591,cto,True,True,True
6,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/cto/d/fremont-2012-toyota-camry-se/7917810012.html,2012 Toyota Camry SE,7917810012,cto,True,True,True
6,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/cto/d/san-jose-2009-toyota-camry-hybrid-24l/7911480028.html,2009 Toyota Camry hybrid 2.4l,7911480028,cto,True,True,True
10,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/cupertino-2003-toyota-camry-xle-cyl/7917779364.html,2003 TOYOTA CAMRY XLE 4 CYL . AUTOMATIC CLEAN LOW MILES,7917779364,ctd,True,True,True
12,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/san-jose-2024-toyota-camry-se/7911805476.html,"2024 Toyota Camry SE Nightshade – $22,995",7911805476,ctd,True,True,True
14,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/santa-clara-2009-toyota-camry-ce-sedan/7911844548.html,2009 Toyota Camry CE Sedan 4D,7911844548,ctd,True,True,True
24,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/sunnyvale-2021-toyota-camry-le-4dr/7917633712.html,2021 Toyota Camry LE 4dr Sedan WE SHIP CALIFORNIA CARS ANYWHERE!,7917633712,ctd,True,True,True
36,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/san-jose-2017-toyota-camry-le/7912324647.html,2017 Toyota Camry LE,7912324647,ctd,True,True,True
38,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/daly-city-2025-toyota-camry-se/7917449137.html,2025 Toyota Camry SE,7917449137,ctd,True,True,True
39,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=date,https://sfbay.craigslist.org/sby/ctd/d/san-jose-2020-toyota-camry-hybrid/7917421283.html,2020 Toyota Camry Hybrid XLESedan,7917421283,ctd,True,True,True
41,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/gilroy-2009-toyota-camry-le-4dr-sedan-5a/7912672560.html,2009 Toyota Camry LE 4dr Sedan 5A,7912672560,ctd,True,True,True
42,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/san-jose-2020-toyota-camry-se-4dr-sedan/7912685137.html,2020 Toyota Camry SE 4dr Sedan Sedan,7912685137,ctd,True,True,True
43,https://sfbay.craigslist.org/search/sby/cta?query=camry&sort=dateoldest,https://sfbay.craigslist.org/sby/ctd/d/san-jose-2014-toyota-camry-se-24l-sport/7912709526.html,"2014 Toyota Camry SE 2.4L Sport, Clean Title/ Runs Great / Navi/ Camer",7912709526,ctd,True,True,True
